0.52  452.1223985000 .7762036305 0 562     1338.7787475000 10.0459670825 0 562     282.2449032500 9.6265076236 392033 562     289.8971025001 .4660438020 392208 562     78.9349520000 .5927084942 392033 562     77.7051240000 .2529988274 392033 562     82.2744485000 .9576049091 392033 562     67.1263207501 6.7977946558 392033 562     167.6475447500 .7577434168 392033 562     166.1233634999 1.5837612926 392208 562      
0.54  451.3975297501 10.5813749955 0 517     1353.4627077500 11.8132111427 0 517     274.8334577500 1.7910406101 395718 517     290.6726457500 2.0742181851 395718 517     79.9096585000 .8776592477 395718 517     79.6848547500 1.0056265506 395718 517     81.6077764999 1.5531355206 395718 517     68.0735255000 7.8075272957 395718 517     169.3478887500 6.0187419313 395718 517     168.2028465000 .5141656463 395718 517      
0.56  454.2523957500 2.1221287121 0 520     1334.2893677501 8.8242592953 0 520     279.4476015001 8.0678869714 400998 520     289.4844437499 1.3781238446 400998 520     80.7621460000 1.3155240317 400998 520     84.2884295000 8.8633578877 400998 520     81.9494725000 .4992760709 400998 520     71.4475690001 11.6207762982 400998 520     169.8264580000 2.6013361006 400998 520     174.6383400000 7.9650807781 400998 520      
0.58  456.1588822499 5.7112473506 0 567     1337.4828184999 19.7744514980 0 567     277.9291612499 1.8483571362 407512 567     293.8466797500 .7582969254 407609 567     90.5619240001 1.9126031949 407512 567     86.4307900000 2.9827195319 407512 567     90.2021350001 .8391932624 407512 567     69.6827505000 .9523990914 407512 567     176.3317757500 3.8037434346 407512 567     185.9969522499 8.7050956403 407609 567      
0.60  491.0928955000 1.9045597453 0 525     1358.0155027500 6.0433972706 0 525     283.6523972501 7.2238999964 411294 525     297.5856172500 4.2187346506 411294 525     90.8834992499 .5471273585 411294 525     89.6761492500 .6973543249 411294 525     92.0878715000 1.7382724619 411294 525     70.2494504999 .4631252930 411294 525     180.0308687500 2.3520368906 411294 525     187.5724792500 8.5949338347 411294 525      
0.62  491.8218615000 4.5906663173 0 532     1371.2847290001 20.3865837003 0 532     282.3904264999 3.9083933016 417720 532     307.4778137500 6.3664017484 417720 532     92.4115982501 .8339047703 417720 532     91.3959160001 2.6195362965 417720 532     91.9011210000 1.1402960662 417720 532     71.4232309999 .5345435821 417720 532     187.2497597500 3.1402538993 417720 532     190.5189362500 5.4207678220 417720 532      
0.64  493.6009672501 10.9966372323 0 558     1362.5335999999 8.0945178468 0 558     288.7830580000 1.4967919186 422683 558     304.0110472499 .5510070764 422777 558     93.3501205000 .1521636083 422683 558     94.4739170001 1.6696961466 422683 558     95.2793139999 .6354801242 422683 558     72.0540620000 .9384463926 422683 558     199.5797005001 1.9180109046 422683 558     177.6280595001 1.9627151566 422777 558      
0.66  493.6151047500 2.5849176073 0 536     1361.1188050000 12.1193816636 0 536     280.5473787500 1.3200902811 426739 536     304.3973160000 2.2065728220 426739 536     88.2834397500 3.5084219908 426739 536     89.6473025000 1.5411891202 426739 536     87.2845325000 1.1788284835 426739 536     69.0127487501 .4464790137 426739 536     180.5365792501 2.1782570464 426739 536     183.6989937501 9.2137924526 426739 536      
0.68  501.6697997500 16.7527373356 0 537     1338.9963685001 11.6614779358 0 537     280.4366305000 .9390942942 431990 537     301.2286912500 8.4964054631 431990 537     85.8875485000 .3333524219 431990 537     86.6221677499 .5435687535 431990 537     93.4554919999 8.0093755987 431990 537     70.4153097499 .3341507791 431990 537     183.6189232500 1.2650980265 431990 537     184.9380877500 1.5525439711 431990 537      
0.70  488.4710540001 10.7451906230 0 569     1356.3909607500 17.5451004697 0 569     281.4480285001 .8552240070 437935 569     295.3781280000 .5818300671 438063 569     90.8751622499 2.3135944200 437935 569     90.9629042500 .9986495102 437935 569     88.0439110001 2.1442009996 437935 569     71.2148057501 1.8380508410 437935 569     189.7936365000 7.0558024116 437935 569     195.4106867499 11.8406648986 438063 569      
0.72  497.9635770000 4.0223069456 0 537     1340.6437990001 13.0343993349 0 537     284.1386490000 2.7978189902 442193 537     298.5159227500 2.5944832918 442193 537     85.9024352500 1.0136645298 442193 537     84.4627075000 .8827848139 442193 537     87.6990910000 1.0306638649 442193 537     75.3643550000 8.7677088179 442193 537     187.8027837500 1.8384546086 442193 537     192.0914419999 7.9233352436 442193 537      
0.74  469.5748137501 6.5108530670 0 561     1307.7236940000 3.0535179950 0 561     283.4795835000 1.1286960722 448261 561     298.6675185000 .9081259005 448261 561     90.6134302500 1.4689918488 448261 561     88.1997490001 3.1928960915 448261 561     94.8338354999 1.8078596727 448261 561     78.8811702500 14.9413481352 448261 561     190.1356010001 1.2797648378 448261 561     192.2685967500 1.7155481745 448261 561      
0.76  478.6985547500 18.0537634646 0 565     1342.7288210000 22.5856590830 0 565     284.6094972500 1.8978328362 452939 565     301.4271392501 2.3009846164 453003 565     87.8230112501 2.5084333911 452939 565     91.0094127500 4.8779869513 452939 565     91.6673660001 4.3616635990 452939 565     73.9272670000 .4347471460 452939 565     199.7677117500 6.6244462819 452939 565     195.0834237500 2.6091420335 453003 565      
0.78  514.4500652500 15.2613101549 0 547     1342.6326905000 7.1966340847 0 547     284.5622862500 2.3535740291 457673 547     299.3881070001 .7987210402 457673 547     87.6632707501 .5625933063 457673 547     94.5201397501 4.0986948510 457673 547     90.3703002499 .4711661757 457673 547     74.3579595000 1.3895344077 457673 547     206.9577749999 9.1529370396 457673 547     199.2227362500 5.7968693119 457673 547      
0.80  483.7054445000 3.1260971748 0 553     1333.8625792501 8.0733023022 0 553     291.0572127500 10.0835355100 463422 553     300.4633485000 1.0489007156 463422 553     88.3479445000 .9808336458 463422 553     88.2775572499 1.5107961864 463422 553     92.4014665000 2.1780060785 463422 553     79.0659904999 12.6883936440 463422 553     195.9875030000 1.4368739032 463422 553     202.6278952500 9.5274662738 463422 553      
0.82  469.6092682500 1.8716296575 0 551     1340.2229920000 18.0980745608 0 551     287.9613420000 1.4555426541 468007 551     302.2823257501 1.1241642322 468092 551     90.0530340000 .9173193181 468007 551     91.2358702500 1.2735894367 468007 551     100.4259089999 8.1014810355 468007 551     77.2169515000 1.8789976312 468007 551     198.0905495001 1.6202767433 468007 551     198.2584342500 .4453215356 468092 551      
0.84  547.1196747500 15.4132887253 0 543     1328.9791870000 10.4044716614 0 543     289.1465299999 .8501822681 472770 543     302.6234817499 .6809631584 472770 543     91.2820510001 1.6120872213 472770 543     91.2323055000 1.4712420066 472770 543     91.4000530000 .0860136750 472770 543     74.3765965000 .8526257957 472770 543     199.8022157500 2.0332966506 472770 543     200.0948790000 1.7925426532 472770 543      
0.86  499.3882140000 1.6337766190 0 562     1325.4736937500 7.8719322888 0 562     288.5299760000 .4946349346 478743 562     303.3904572499 1.7641206811 478743 562     92.1779060000 5.8222889267 478743 562     92.8523559999 4.1558419932 478743 562     95.1701962501 5.1208095239 478743 562     77.7104072500 1.7002250563 478743 562     208.0109100000 7.5968038417 478743 562     208.1113470001 5.7089196484 478743 562      
0.88  486.2417907500 10.6053927651 0 556     1346.5060425000 13.0055086219 0 556     291.5003355000 2.7384208854 483328 556     306.3251950000 1.8464518924 483352 556     93.4656125001 1.2064959154 483328 556     95.5551607500 2.3602938612 483328 556     96.4860420000 .4674144729 483328 556     77.6570990001 3.2884006963 483328 556     210.5061872500 12.8485414131 483328 556     207.6513750000 4.4548999604 483352 556      
0.90  532.3214265000 3.1475754779 0 547     1354.5003052501 12.8624749042 0 547     294.5552902501 9.6642401757 488281 547     305.3278652501 .5182349802 488281 547     98.3132365000 2.6081576257 488281 547     92.6783770000 2.8347061487 488281 547     93.3658712500 .4185148033 488281 547     75.2013947499 .6955328149 488281 547     207.1585809999 4.0491234939 488281 547     212.5318717501 7.5019577688 488281 547      
0.92  505.2628324999 10.2296397850 0 570     1324.9125977500 17.1097407952 0 570     296.1917497500 9.7623810606 494388 570     304.8944095000 1.6990071885 494404 570     94.1521832500 1.8341590956 494388 570     94.5682545000 4.6055727708 494388 570     95.6320362500 2.3011784926 494388 570     78.8858812501 4.1717684176 494388 570     208.6408195001 3.4294593718 494388 570     208.3688392500 2.3405942641 494404 570      
0.94  486.2259215001 12.7911845689 0 567     1344.9295655001 10.9957748878 0 567     293.5866317500 .1946407480 498712 567     307.9944610000 1.5453116580 498787 567     95.6795520000 .2603078890 498712 567     98.4858302499 3.1025518415 498712 567     101.1653080000 2.3259098038 498712 567     80.9427527501 5.9874123826 498712 567     213.9813842500 6.9369921669 498712 567     211.7245405000 3.2973023895 498787 567      
0.96  541.8871307500 3.1132986154 0 563     1336.0916747500 8.9068886897 0 563     293.7269742501 2.2138252324 503946 563     307.6503982501 1.0063663322 503946 563     98.8594532499 3.2251874826 503946 563     98.3526457500 1.0537345330 503946 563     98.3995552499 2.2975379398 503946 563     80.0074310000 1.8082288198 503946 563     210.6790387500 .7601280521 503946 563     211.5000382500 1.1159518387 503946 563      
0.98  535.4791109999 7.1535843105 0 575     1325.7770690000 17.5816170567 0 575     293.9127350001 .7135553579 509840 575     311.7214202500 8.7915452888 509749 575     96.1051960000 .9031331371 509840 575     95.3974495000 .5066425052 509840 575     97.3901617500 1.5437333390 509840 575     82.7787952499 11.2626135510 509840 575     213.2917787500 .6511078297 509840 575     216.3177947501 4.8982528581 509749 575      
1.00  496.2846600000 11.3648853402 0 573     1339.0314332500 8.8502358500 0 573     297.3703080000 1.4916896162 514335 573     315.6077117500 10.2894328615 514390 573     99.0767555000 1.0031346069 514335 573     99.0232295000 .9815172232 514335 573     100.9557685000 .8434918818 514335 573     82.2588560000 2.4745474580 514335 573     217.5342672500 1.3656543038 514335 573     217.8833885000 1.2434660761 514390 573      
