369098752  11492.3191407002 40.8985445985 12.9332553920 369048816 0     13639.4589843002 51.2813355787 16.2165821887 369048816 0     1217.4024535999 80.6236683917 25.4954425441 369048670 0     1212.1306398000 38.7469304933 12.2528552701 369048816 0     1197.9337523999 67.7591439989 21.4273227344 369048816 0     3598.5907226000 118.9374264028 37.6113166479 369048816 0      
402653184  11983.3002930000 82.5064305952 26.0908242297 402598744 0     14405.1769531001 51.3128614677 16.2265515502 402598744 0     1339.2737182999 90.8263612533 28.7218173151 402598664 0     1313.3614258999 102.8799265914 32.5334893546 402598744 0     1319.8612059998 72.1506460604 22.8160376208 402598744 0     3937.9991210001 112.6595494872 35.6260776555 402598744 0      
436207616  13626.8598632001 85.3995979558 27.0057240808 436148702 0     16108.2913086001 79.6350087208 25.1828009050 436148702 0     1453.6966430999 82.6349648632 26.1314703341 436148659 0     1436.7805908001 110.5601745946 34.9621970232 436148702 0     1416.5313110001 111.0405802507 35.1141146306 436148702 0     4369.2113280001 325.5533838562 102.9490192982 436148702 0      
469762048  13986.2100587000 70.8372171893 22.4006949431 469698585 0     16861.4882813001 46.8656711381 14.8202264872 469698585 0     1512.5103516998 102.4938893199 32.4114136507 469698498 0     1512.9850830999 94.6572378510 29.9332468635 469698585 0     1496.7879637999 66.0903846856 20.8996147047 469698585 0     4582.7683593999 127.0450857886 40.1751836632 469698585 0      
503316480  15686.4609377000 34.5965807198 10.9403994330 503248437 0     18727.0931640000 84.3642469019 26.6783173300 503248437 0     1574.2094849001 167.6459936512 53.0143180551 503248470 0     1554.6276245000 129.4153340655 40.9247219807 503248437 0     1534.4964355998 135.2158329459 42.7590007835 503248437 0     4865.2544432999 173.1144259926 54.7435881981 503248437 0      
536870912  15995.8561523000 68.1468350129 21.5499213977 536798404 0     19325.5269530999 58.6125842604 18.5349265815 536798404 0     1722.9323854999 131.0341470780 41.4366356032 536798356 0     1751.6016357001 116.7798234786 36.9290226952 536798404 0     1677.2626100000 186.4892073817 58.9730654378 536798404 0     5381.4162110001 47.6085348877 15.0551406311 536798404 0      
570425344  17858.1892579001 96.7556718593 30.5968299621 570348298 0     21194.2671875000 44.9503342161 14.2145437711 570348298 0     1609.6242553997 33.8241811223 10.6961452338 570348229 0     1579.9958739998 14.0682873552 4.4487830821 570348298 0     1545.5729857998 17.8078007971 5.6313210638 570348298 0     5417.6116211999 175.7478676316 55.5763555645 570348298 0      
603979776  18063.4033202000 59.8424103077 18.9238317250 603898243 0     21794.0810548001 41.2324114714 13.0388333673 603898243 0     1795.7068604000 92.5797482548 29.2762869696 603898145 0     1832.7674195000 166.8929229792 52.7761761988 603898243 0     1694.7438475999 33.9492391100 10.7356920419 603898243 0     5771.4673828000 124.8473286060 39.4801918190 603898243 0      
637534208  19992.5736326001 51.2749875447 16.2145747641 637448176 0     23750.6798827000 54.4290623956 17.2119808081 637448176 0     1906.9376465000 86.8416972739 27.4617559266 637448096 0     1894.0121460000 80.1247556316 25.3376724765 637448176 0     1834.4084594000 130.8494825061 41.3782395382 637448176 0     6136.7422850999 242.7143985955 76.7530320496 637448176 0      
671088640  20047.7357422001 119.1308166502 37.6724720138 670998130 0     24199.2906251001 70.0262094777 22.1442317862 670998130 0     1816.9647949001 29.6833284784 9.3866926528 670997912 0     1763.3652588002 16.6673430929 5.2706766718 670998130 0     1720.0655029001 33.6989056098 10.6565296384 670998130 0     6240.4151855000 255.6735244293 80.8510674616 670998130 0      
