704643072  11904.7235350999 14.5162016166 4.5904260083 815 0     16039.6727540000 20.6234050956 6.5216933211 340 0     2020.5044676001 4.5906076966 1.4516776165 815 0     1978.6860351000 3.8333913440 1.2122247810 815 0     1929.5640625998 4.6678042581 1.4760893127 815 0     885.6891053000 4.9648774031 1.5700320897 815 0      
738197504  11745.7440429000 12.1378830508 3.8383356414 849 0     16341.3521485001 51.3445447241 16.2365706756 353 0     2290.9687498002 66.7843406956 21.1190628635 849 0     2207.2851561998 128.0724830536 40.5000752051 849 0     2277.5918699999 60.5253078659 19.1397828943 849 0     1014.3451720001 46.0367317482 14.5580928357 849 0      
771751936  13309.0696288998 244.3546199347 77.2717155795 888 0     17769.3306641999 212.5541172835 67.2155136676 362 0     2439.1636473997 115.8484985703 36.6345119000 888 0     2525.8098877000 98.3391283153 31.0975628598 888 0     2472.5981444999 103.7825868134 32.8189355801 888 0     1079.8904113998 45.5573735939 14.4065064775 888 0      
805306368  13048.8100587000 200.6413176582 63.4483556550 925 0     17971.2251951001 146.1863805519 46.2281925450 374 0     2704.3765135001 105.8239583678 33.4644739464 925 0     2658.6876710000 130.7868973577 41.3584483765 925 0     2607.4060057999 123.3292411795 39.0001304235 925 0     1125.3704100000 44.8938238913 14.1966736374 925 0      
838860800  14708.0212890998 307.5714502133 97.2626325936 929 0     19199.4771484999 124.5046005758 39.3718116997 336 0     2838.6893554000 102.5622617607 32.4330349149 929 0     2819.7609129999 102.9438518366 32.5537042921 929 0     2764.5288573999 24.8043457173 7.8438228338 929 0     1187.1542359000 64.6400777400 20.4409873793 929 0      
872415232  14134.5983399000 263.6958938442 83.3879634199 974 0     19626.1767578000 137.8867379312 43.6036151002 347 0     2908.0521973000 16.3249583809 5.1624051192 974 0     2972.6785888001 144.7954243915 45.7883335857 974 0     2847.7189697000 128.8595168958 40.7489571588 974 0     1217.4660765998 85.9880847343 27.1918199401 974 0      
905969664  15729.5751953001 297.0561085367 93.9373895862 1003 0     21065.7250000998 296.8747772725 93.8800476056 358 0     3068.4843260000 135.7635813479 42.9322140370 1003 0     3069.5690430998 106.2387576246 33.5956449887 1003 0     2839.3172120001 123.8311383559 39.1588442464 1003 0     1275.9149293000 67.7357514457 21.4199253596 1003 0      
939524096  15436.5977538998 240.5289733766 76.0619399148 1040 0     21049.1943357000 180.0234864299 56.9284249455 377 0     3145.6190673000 117.2023955969 37.0626517322 1040 0     3227.2379392999 27.5789837676 8.7212404260 1040 0     3081.0743408998 136.8916328157 43.2889352326 1040 0     1316.3693846001 45.7360217327 14.4629999793 1040 0      
973078528  20408.8308593001 355.0438319785 112.2747178270 184 0     25760.5273435999 288.8066364602 91.3286774606 278 0     3296.7499999999 164.1850258831 51.9198639495 184 0     3205.6683838999 211.0885541497 66.7520619119 184 0     2923.0303222002 254.9138984982 80.6108526504 184 0     1304.9312256000 78.2266719510 24.7374457145 184 0      
1006632960  19811.4029296999 284.1592666581 89.8590500902 115 0     25687.2220704000 166.4041556187 52.6216143883 249 0     3044.1921875998 44.3375200931 14.0207549300 115 0     3312.9418702997 262.8196959519 83.1108853178 115 0     3203.6507567999 218.9134780742 69.2265201238 115 0     1395.8160887998 112.4370479948 35.5557165056 115 0      
1040187392  21810.5146485999 316.9420945854 100.2258905296 122 0     27421.0060546999 338.7651818123 107.1269566511 260 0     3464.9718750000 241.2182601770 76.2799115398 122 0     3366.3319336000 290.1112771841 91.7412410822 122 0     3296.7353516000 328.5507448802 103.8968680788 122 0     1483.8718016000 84.1326867426 26.6050915781 122 0      
1073741824  20875.0111327999 141.5787206051 44.7711225334 128 0     27416.0162107999 170.7630762141 54.0000261105 265 0     3644.9818116001 177.1452457473 56.0182453243 128 0     3031.4032961000 82.2638955925 26.0141279276 128 0     2902.3905518001 42.4972946884 13.4388245613 128 0     1420.4037841000 125.9389189903 39.8253830077 128 0      
 
